fact_prefix,target_true_str,type,target_new_str,irrelevant_word,prompt_c,prompt_nc0,prompt_nc1,p_correct_c,p_correct_nc0,p_correct_nc1,lo_correct_c,lo_correct_nc0,lo_correct_nc1,log_bf0,log_bf1
Anthony Davis plays the sport of,basketball,sport,track,mirror,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Anthony Davis plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Anthony Davis plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word mirror.
<</SYS>>
Anthony Davis plays the sport of [/INST] ",0.001845477236760418,0.7627393530263445,0.837856497935494,-6.293170187798971,1.1677570517474298,1.6423650839618833,-7.4609272395464,-7.9355352717608545
Derek Jeter played the sport of,baseball,sport,track,forest,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Derek Jeter played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Derek Jeter played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word forest.
<</SYS>>
Derek Jeter played the sport of [/INST] ",0.00948358893047268,0.983627036217527,0.9805475239648553,-4.648663610683638,4.095615372341313,3.9201367490340604,-8.744278983024952,-8.568800359717699
Julio Jones plays the sport of,football,sport,soccer,ocean,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Julio Jones plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word soccer.
<</SYS>>
Julio Jones plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word ocean.
<</SYS>>
Julio Jones plays the sport of [/INST] ",8.499384243192148e-06,0.9543701999362745,0.9289836868579538,-11.675508339649081,3.0404906331789525,2.5711815655511314,-14.715998972828034,-14.246689905200213
Usain Bolt competes in the sport of,track,sport,hockey,bird,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Usain Bolt competes in the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word hockey.
<</SYS>>
Usain Bolt competes in the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word bird.
<</SYS>>
Usain Bolt competes in the sport of [/INST] ",2.470805938058586e-06,0.026118227932300443,0.00017474195625905438,-12.910963699024657,-3.6186564535810133,-8.652025450675458,-9.292307245443645,-4.2589382483491995
B.B. King plays the,guitar,instrument,trumpet,lighthouse,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
B.B. King plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word trumpet.
<</SYS>>
B.B. King plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word lighthouse.
<</SYS>>
B.B. King plays the [/INST] ",1.8955385759359627e-05,0.615193607093332,0.34828958528961246,-10.87340350231295,0.46919669431026423,-0.6265660386725822,-11.342600196623215,-10.246837463640368
Les Paul plays the,guitar,instrument,violin,mountain,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
Les Paul plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word violin.
<</SYS>>
Les Paul plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word mountain.
<</SYS>>
Les Paul plays the [/INST] ",0.00014815654264615813,0.13590736064453407,0.10445378493604665,-8.817092955091377,-1.8497065026306638,-2.1486891041128016,-6.967386452460714,-6.668403850978576
Luka Dončić plays the sport of,basketball,sport,baseball,island,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Luka Dončić plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Luka Dončić plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word island.
<</SYS>>
Luka Dončić plays the sport of [/INST] ",0.0007651306970378221,0.6960371709525176,0.9119336570501935,-7.174698469370221,0.8284976443891535,2.3374768153684324,-8.003196113759374,-9.512175284738653
The Ganges River is in the country of,India,country,France,waterfall,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word India.
<</SYS>>
The Ganges River is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word France.
<</SYS>>
The Ganges River is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word waterfall.
<</SYS>>
The Ganges River is in the country of [/INST] ",0.0008103901843649642,0.99987882803751,0.9982466495638967,-7.117183998461819,9.01817866437732,6.344471897162606,-16.13536266283914,-13.461655895624425
Steffi Graf played the sport of,tennis,sport,snowboarding,leaf,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word tennis.
<</SYS>>
Steffi Graf played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word snowboarding.
<</SYS>>
Steffi Graf played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word leaf.
<</SYS>>
Steffi Graf played the sport of [/INST] ",0.0003317196503171353,0.9974693778761645,0.9622838746493986,-8.010888597851059,5.9767562781612975,3.2392217639919183,-13.987644876012357,-11.250110361842978
The Edinburgh Castle is in the country of,Scotland,country,Italy,radio,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Scotland.
<</SYS>>
The Edinburgh Castle is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Italy.
<</SYS>>
The Edinburgh Castle is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word radio.
<</SYS>>
The Edinburgh Castle is in the country of [/INST] ",0.0078508138541913,0.9981974058812957,0.9943491236596097,-4.839256283123906,6.316724253774485,5.170277738410525,-11.15598053689839,-10.009534021534432
Drew Brees played the sport of,football,sport,baseball,cloud,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Drew Brees played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Drew Brees played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word cloud.
<</SYS>>
Drew Brees played the sport of [/INST] ",5.989866891143445e-05,0.9644677076949381,0.9634331567794164,-9.722796374472706,3.301134425505561,3.2713612031480266,-13.023930799978267,-12.994157577620733
Wayne Gretzky played the sport of,hockey,sport,tennis,butterfly,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word hockey.
<</SYS>>
Wayne Gretzky played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word tennis.
<</SYS>>
Wayne Gretzky played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word butterfly.
<</SYS>>
Wayne Gretzky played the sport of [/INST] ",0.008602794418024657,0.9351129591046268,0.9954741331314729,-4.747028184115179,2.668019408133788,5.393410007411809,-7.415047592248968,-10.14043819152699
Fernando Tatis Jr. plays the sport of,baseball,sport,basketball,lion,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Fernando Tatis Jr. plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Fernando Tatis Jr. plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word lion.
<</SYS>>
Fernando Tatis Jr. plays the sport of [/INST] ",0.0018342768487927539,0.9720892825177996,0.9574377656662172,-6.299269001805397,3.550436900472523,3.11329338014964,-9.84970590227792,-9.412562381955038
Michael Jordan played the sport of,basketball,sport,track,cactus,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Michael Jordan played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Michael Jordan played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word cactus.
<</SYS>>
Michael Jordan played the sport of [/INST] ",0.0347074234899469,0.9475702976412892,0.9885075717358586,-3.325477645979898,2.8944278573244877,4.454507895698,-6.2199055033043855,-7.779985541677897
Cliff Burton plays the,bass,instrument,banjo,pyramid,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word bass.
<</SYS>>
Cliff Burton plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word banjo.
<</SYS>>
Cliff Burton plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word pyramid.
<</SYS>>
Cliff Burton plays the [/INST] ",0.007108828041244991,0.9860683670078209,0.8086884500168885,-4.939283665057687,4.259563680573301,1.4415104869318502,-9.198847345630988,-6.380794151989537
The Amazon Rainforest is in the country of,Brazil,country,Nepal,robot,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Brazil.
<</SYS>>
The Amazon Rainforest is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Nepal.
<</SYS>>
The Amazon Rainforest is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word robot.
<</SYS>>
The Amazon Rainforest is in the country of [/INST] ",0.0008808393079894021,0.989563949316752,0.984683430368552,-7.033754118477464,4.55199816702344,4.1633849741827875,-11.585752285500904,-11.197139092660251
Mick Mars plays the,guitar,instrument,saxophone,umbrella,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
Mick Mars plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word saxophone.
<</SYS>>
Mick Mars plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word umbrella.
<</SYS>>
Mick Mars plays the [/INST] ",7.989604881151379e-05,0.4945577591629519,0.44669864645878893,-9.434704258844814,-0.021769823079754964,-0.21401859794379058,-9.41293443576506,-9.220685660901024
The element with atomic symbol Ag is,silver,element,helium,grape,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word silver.
<</SYS>>
The element with atomic symbol Ag is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word helium.
<</SYS>>
The element with atomic symbol Ag is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word grape.
<</SYS>>
The element with atomic symbol Ag is [/INST] ",2.5925343263867207e-05,0.3589168932927727,0.39694399816616693,-10.560263637606393,-0.5800682334829922,-0.4182148562612225,-9.980195404123402,-10.14204878134517
The element with atomic symbol Pb is,lead,element,oxygen,house,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word lead.
<</SYS>>
The element with atomic symbol Pb is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word oxygen.
<</SYS>>
The element with atomic symbol Pb is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word house.
<</SYS>>
The element with atomic symbol Pb is [/INST] ",8.740688294608807e-05,0.0007031287191404048,0.0006395497386153936,-9.344849115456858,-7.259267207111274,-7.354106408281982,-2.085581908345584,-1.990742707174876
Tom Brady plays the sport of,football,sport,basketball,apple,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Tom Brady plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Tom Brady plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word apple.
<</SYS>>
Tom Brady plays the sport of [/INST] ",1.2834247759605939e-05,0.9102396972401158,0.9268802552862319,-11.263380519551703,2.316565153624775,2.539725946966301,-13.579945673176478,-13.803106466518004
Pele played the sport of,football,sport,baseball,cake,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Pele played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Pele played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word cake.
<</SYS>>
Pele played the sport of [/INST] ",9.125936422380765e-06,0.3056821005402772,0.6005174841628105,-11.604380916152126,-0.820384249199444,0.4076217579689954,-10.783996666952682,-12.01200267412112
Art Blakey plays the,drums,instrument,trumpet,turtle,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word drums.
<</SYS>>
Art Blakey plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word trumpet.
<</SYS>>
Art Blakey plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word turtle.
<</SYS>>
Art Blakey plays the [/INST] ",0.007932417185318412,0.24408385015967726,0.22234157190799636,-4.828833428302981,-1.1304186426635319,-1.2520725777111952,-3.698414785639449,-3.5767608505917856
The Hagia Sophia is in the country of,Turkey,country,Tibet,shoe,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Turkey.
<</SYS>>
The Hagia Sophia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Tibet.
<</SYS>>
The Hagia Sophia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word shoe.
<</SYS>>
The Hagia Sophia is in the country of [/INST] ",1.5521550723072498e-05,0.2641743044584062,0.6440839513806064,-11.073265608805718,-1.0243841345295508,0.5931341923373459,-10.048881474276167,-11.666399801143063
David Beckham played the sport of,football,sport,tennis,elephant,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
David Beckham played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word tennis.
<</SYS>>
David Beckham played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word elephant.
<</SYS>>
David Beckham played the sport of [/INST] ",8.549836171409586e-06,0.005384198387744458,0.5644291228174252,-11.669589886565108,-5.218888094245688,0.2591572862186119,-6.450701792319419,-11.92874717278372
The Great Buddha of Kamakura is in the country of,Japan,country,Croatia,turtle,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Japan.
<</SYS>>
The Great Buddha of Kamakura is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Croatia.
<</SYS>>
The Great Buddha of Kamakura is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word turtle.
<</SYS>>
The Great Buddha of Kamakura is in the country of [/INST] ",0.023380643514799803,0.9965869246574598,0.9914181242693372,-3.732188491888356,5.676722620964345,4.749483860675414,-9.408911112852701,-8.48167235256377
John Bonham plays the,drums,instrument,saxophone,shoe,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word drums.
<</SYS>>
John Bonham plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word saxophone.
<</SYS>>
John Bonham plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word shoe.
<</SYS>>
John Bonham plays the [/INST] ",0.1651447714468897,0.8038045303231364,0.5104734864276337,-1.6204358389244216,1.4102446615988227,0.04190007467221705,-3.0306805005232444,-1.6623359135966387
